full_date,date,hour,real,pred1,pred2,pred3,pred4
2023-05-16 00:00:00,2023-05-15,24.0,88.27,79.72870635986328,81.6146011352539,79.55564130924948,75.83162945234437
2023-05-16 01:00:00,2023-05-16,1.0,67.81,85.48650360107422,84.20802307128906,78.28278991081143,82.91990954302014
2023-05-16 02:00:00,2023-05-16,2.0,65.0,79.53170013427734,78.31000518798828,72.10627931502007,76.12116135521848
2023-05-16 03:00:00,2023-05-16,3.0,49.52,71.71307373046875,73.55040740966797,67.57093644054122,62.69594921978609
2023-05-16 04:00:00,2023-05-16,4.0,47.81,65.86709594726562,66.55833435058594,62.32768358979898,62.79331994034841
2023-05-16 05:00:00,2023-05-16,5.0,46.0,64.648681640625,66.29946899414062,62.86495138458571,65.54519207679827
2023-05-16 06:00:00,2023-05-16,6.0,48.01,67.53801727294922,69.44306945800781,65.18124937304118,67.3857181496532
2023-05-16 07:00:00,2023-05-16,7.0,65.3,79.5080795288086,83.72368621826172,75.9127215302929,74.85560239268986
2023-05-16 08:00:00,2023-05-16,8.0,70.12,91.10527801513672,94.7919921875,84.92256002601576,80.84156207446166
2023-05-16 09:00:00,2023-05-16,9.0,66.82,80.74254608154297,85.50214385986328,73.3478454787456,69.4757560866725
2023-05-16 10:00:00,2023-05-16,10.0,40.35,42.75808334350586,44.82735824584961,51.76015890155462,51.65526787767913
2023-05-16 11:00:00,2023-05-16,11.0,14.0,28.536853790283203,31.93283462524414,41.53884033525057,42.976103292705545
2023-05-16 12:00:00,2023-05-16,12.0,5.0,13.47008991241455,23.477672576904297,46.505031942373954,45.298381714538934
2023-05-16 13:00:00,2023-05-16,13.0,5.0,13.51586627960205,15.850468635559082,29.01440612509056,34.5290111377003
2023-05-16 14:00:00,2023-05-16,14.0,12.95,10.736462593078612,10.158734321594238,18.733394840886312,14.647281012578084
2023-05-16 15:00:00,2023-05-16,15.0,12.95,9.460400581359863,8.183140754699707,12.04536024968101,14.736386594057997
2023-05-16 16:00:00,2023-05-16,16.0,4.17,9.542119026184082,7.678524971008301,11.546640752603338,11.396500608789433
2023-05-16 17:00:00,2023-05-16,17.0,5.0,12.302105903625488,9.031567573547363,13.732589806341217,10.60369657549044
2023-05-16 18:00:00,2023-05-16,18.0,14.27,13.821988105773926,11.40672779083252,15.016088208120898,14.441941883036641
